"product_name",seller_id,brand_id,"product_url","number_sold","avg_rating","number_reviews","descript","source"
"Sữa bột Nestlé NAN OPTIPRO PLUS 1 800g/lon với 5HMO Sản Xuất Tại Thụy Sĩ (0 - 6 tháng)                                                                                                                                                                                                                                                                                                                 ",17,33,"https://tiki.vn/sua-bot-nestle-nan-optipro-plus-1-800g-lon-voi-5hmo-san-xuat-tai-thuy-si-0-6-thang-p247427699.html?spid=247427700                                                                                                                                                                                            "," 53000                                                                                                                   ","4.8                                                                                                                                                     ","309                                                                                                                                          ","Giới thiệu
Với công thức cải tiến được phát triển bởi Nestlé Thụy Sĩ, NAN OPTIPRO PLUS 1 là sản phẩm dinh dưỡng công thức bổ sung các dưỡng chất thiết yếu, phù hợp với nhu cầu của trẻ từ 0-6 tháng tu","Tiki                            "
"Sữa bột Nestlé NAN OPTIPRO PLUS 2 800g/lon với 5HMO Sản Xuất Tại Thụy Sĩ (6 - 12 tháng)                                                                                                                                                                                                                                                                                                                ",17,33,"https://tiki.vn/sua-bot-nestle-nan-optipro-plus-2-800g-lon-voi-5hmo-san-xuat-tai-thuy-si-6-12-thang-p247427686.html?spid=247427689                                                                                                                                                                                           "," 78000                                                                                                                   ","-1                                                                                                                                                      ","354                                                                                                                                          ","NA                                                                                                                                                                                                      ","Tiki                            "
"Sữa bột Nestlé NAN OPTIPRO PLUS 3 1500g/lon với 5HMO (1-2 tuổi)                                                                                                                                                                                                                                                                                                                                        ",17,33,"https://tiki.vn/sua-bot-nestle-nan-optipro-plus-3-1500g-lon-voi-5hmo-1-2-tuoi-p247427687.html?spid=247427690                                                                                                                                                                                                                 "," 2000                                                                                                                    ","-1                                                                                                                                                      ","127                                                                                                                                          ","NA                                                                                                                                                                                                      ","Tiki                            "
"[Tặng Máy sấy tóc Sunhouse] Sữa bột Nestlé NAN OPTIPRO PLUS 4 1500g/lon với 5HMO Giúp tiêu hóa tốt                                                                                                                                                                                                                                                                                                     ",19,33,"https://tiki.vn/tang-may-say-toc-sunhouse-sua-bot-nestle-nan-optipro-plus-4-1500g-lon-voi-5hmo-giup-tieu-hoa-tot-p276105947.html?spid=276105948                                                                                                                                                                              "," 0                                                                                                                       ","-1                                                                                                                                                      ","1                                                                                                                                            ","NA                                                                                                                                                                                                      ","Tiki                            "
"Set 5 Bịt Góc Bàn Ghế Silicon Trong Suốt (Kèm Keo 2 Mặt) - Bo Góc Chống Va Chạm An Toàn Cho Trẻ Em                                                                                                                                                                                                                                                                                                     ",6,34,"https://tiki.vn/set-5-bit-goc-ban-ghe-silicon-trong-suot-kem-keo-2-mat-bo-goc-chong-va-cham-an-toan-cho-tre-em-p208189011.html?spid=208189013                                                                                                                                                                                "," 798                                                                                                                     ","4.5                                                                                                                                                     ","39                                                                                                                                           ","Giới Thiệu
Cuộn bọc cạnh bàn chống va đập cho bé được làm từ nhựa dẻo mềm, dày giúp giảm thiểu những chấn thương khi bé lỡ va đập vào các góc cạnh sắc nhọn trong nhà.
An toàn dùng để nẹp các cạnh bà","Tiki                            "
"Sữa rửa mặt cho nam Oxy sạch sâu mát lạnh dạng kem Oxy Perfect Wash 100g                                                                                                                                                                                                                                                                                                                               ",17,35,"https://tiki.vn/sua-rua-mat-cho-nam-oxy-sach-sau-mat-lanh-dang-kem-oxy-perfect-wash-100g-p22052325.html?spid=22052326                                                                                                                                                                                                        "," 54000                                                                                                                   ","4.8                                                                                                                                                     ","88                                                                                                                                           ","Kem rửa mặt sạch nhờn mát lạnh OXY Perfect Wash 100g
Thông tin sản phẩm:
1. Thành phần sản phẩm:
Sữa rửa mặt cho nam Oxy Perfect Wash chứa nước biển Iroise, công nghệ cấp ẩm HydraTech (Dihydroxypro","Tiki                            "
"Sữa bột Abbott Pediasure 800g cho trẻ từ 1 - 10 tuổi                                                                                                                                                                                                                                                                                                                                                   ",17,36,"https://tiki.vn/sua-bot-abbott-pediasure-800g-cho-tre-tu-1-10-tuoi-p274855363.html?spid=274855364                                                                                                                                                                                                                            "," 355                                                                                                                     ","4.9                                                                                                                                                     ","7                                                                                                                                            ","Giới thiệu
Sữa bột Abbott Pediasure là một trong những lựa chọn hàng đầu của các mẹ khi muốn bổ sung dinh dưỡng cho bé yêu, đặc biệt là những bé biếng ăn, chậm lớn hoặc có nhu cầu dinh dưỡng cao. Với","Tiki                            "
"Sữa bột Abbott Pediasure 1.6kg cho trẻ từ 1-10 tuổi                                                                                                                                                                                                                                                                                                                                                    ",19,36,"https://tiki.vn/sua-bot-abbott-pediasure-1-6kg-cho-tre-tu-1-10-tuoi-p24028050.html?spid=24028051                                                                                                                                                                                                                             "," 14000                                                                                                                   ","4.8                                                                                                                                                     ","809                                                                                                                                          ","Giới thiệu
Được phát triển liên tục từ năm 1988, PediaSure® là dinh dưỡng bổ sung dành cho trẻ được đặc chế khoa học để đáp ứng nhu cầu dinh dưỡng đặc biệt của trẻ đang tăng trưởng. PediaSure® cung c","Tiki                            "
"Máy cạo râu du lịch Philips PQ206                                                                                                                                                                                                                                                                                                                                                                      ",17,37,"https://tiki.vn/may-cao-rau-du-lich-philips-pq206-p178462936.html?spid=274180081                                                                                                                                                                                                                                             "," 72                                                                                                                      ","4.9                                                                                                                                                     ","7                                                                                                                                            ","THÔNG TIN CHI TIẾT MÁY CẠO RÂU DU LỊCH PQ206:
Máy cạo râu có thể sạc lại PQ206 của Philips kết hợp hệ thống cạo cắt sát với các đầu xoay độc lập. Bạn có thể tự tin rằng bạn sẽ luôn trông tuyệt vời mỗ","Tiki                            "
"Máy cạo râu khô và ướt Philips S1103/02 - Hàng Chính Hãng                                                                                                                                                                                                                                                                                                                                              ",17,37,"https://tiki.vn/may-cao-rau-kho-va-uot-philips-s1103-02-hang-chinh-hang-p162841495.html?spid=162841496                                                                                                                                                                                                                       "," 547                                                                                                                     ","4.8                                                                                                                                                     ","79                                                                                                                                           ","Máy cạo râu Philips S1103/02 hiện đại với nhiều tính năng giúp bạn nhanh chóng có được vẻ điển trai, cuốn hút
Thiết kế nhỏ gọn 
Máy cạo râu màu đen dạng cầm tay, kiểu dáng nhỏ gọn, tính tiện lợi cao","Tiki                            "
