id,product_url
35,https://tiki.vn/noi-ap-suat-elmich-pce-1805-dung-tich-2-5l-hang-chinh-hang-p275515112.html?spid=193570412                                                                                                                                                                                                                    
36,https://tiki.vn/may-say-toc-elmich-hde-1823-hang-chinh-hang-p273358116.html?spid=273463949                                                                                                                                                                                                                                   
37,https://tiki.vn/sua-bot-enfagrow-a2-neuropro-3-danh-cho-tre-tu-1-6-tuoi-800g-p190702377.html?spid=190702378                                                                                                                                                                                                                  
38,https://tiki.vn/sua-bot-enfamil-a-neuropro-2-voi-2-fl-hmo-cho-tre-tu-6-12-thang-tuoi-1-7kg-p115483434.html?spid=115483436                                                                                                                                                                                                    
39,https://tiki.vn/sua-bot-enfagrow-a-neuropro-3-voi-2-fl-hmo-cho-tre-tu-1-3-tuoi-2-2kg-p115483206.html?spid=115483208                                                                                                                                                                                                          
40,https://tiki.vn/sua-bot-enfagrow-a-neuropro-3-voi-2-fl-hmo-cho-tre-tu-1-3-tuoi-1-7kg-p115483204.html?spid=115483205                                                                                                                                                                                                          
41,https://tiki.vn/sua-bot-enfamil-a-neuropro-2-voi-2-fl-hmo-cho-tre-tu-6-12-thang-tuoi-830g-p115483435.html?spid=115483437                                                                                                                                                                                                     
42,https://tiki.vn/thung-24-chai-sua-nuoc-abbott-ensure-237ml-p685882.html?spid=685932                                                                                                                                                                                                                                          
43,https://tiki.vn/thuc-pham-dinh-duong-y-hoc-ensure-gold-800g-850g-p274032614.html?spid=274032617                                                                                                                                                                                                                              
44,https://tiki.vn/hub-type-c-to-hdmi-firo-6in1-hub-chuyen-doi-type-c-chia-6-cong-1-cong-hdmi-4k-2-cong-usb-3-0-2-khe-doc-the-tf-va-sd-1-cong-sac-nhanh-type-c-pd-ket-noi-toc-do-cao-dung-cho-smartphone-laptop-pc-tivi-playstation-hang-chinh-hang-p263433314.html?spid=263433315                                              
45,https://tiki.vn/hub-usb-3-0-firo-va-hub-type-c-firo-bo-chia-cong-usb-firo-hub-chuyen-doi-danh-cho-macbook-pro-laptop-pc-ho-tro-sac-pin-ket-noi-da-nang-o-cung-ban-phim-chuot-may-in-thiet-bi-o-chia-usb-firo-type-c-adapter-4in1-hang-chinh-hang-p262034792.html?spid=262034793                                              
46,https://tiki.vn/bo-2-hop-sua-bot-friso-gold-4-1400g-danh-cho-tre-tu-2-6-tuoi-tang-lon-sua-friso-gold-4-380g-p97551646.html?spid=97551647                                                                                                                                                                                     
47,https://tiki.vn/hoa-qua-nghien-fruto-nga-organic-bo-sung-chat-xo-vitamin-khong-gmo-90g-p275891588.html?spid=275892260                                                                                                                                                                                                        
48,https://tiki.vn/lon-sua-glucerna-800g-tang-1-hop-dung-thuc-an-p274679160.html?spid=274679161                                                                                                                                                                                                                                 
49,https://tiki.vn/con-lan-tao-phep-tinh-toan-hoc-cong-tru-nhan-chia-cho-be-hoc-toan-tieu-hoc-grofa-tang-kem-1-hu-muc-du-phong-mau-hoa-tiet-ngau-nhien-p206073387.html?spid=206073395                                                                                                                                           
50,https://tiki.vn/1-lon-grow-6-850g-tang-01-summer-towel-khan-choang-cho-be-p276119267.html?spid=276119268                                                                                                                                                                                                                     
51,https://tiki.vn/thung-48-hop-sua-nuoc-abbott-grow-gold-huong-vani-180ml-tang-combo-bao-gom-01-quat-cam-tay-01-khan-choang-mua-he-grow-p276119293.html?spid=276119294                                                                                                                                                         
52,https://tiki.vn/thung-3-goi-ta-bim-dan-so-sinh-huggies-skin-perfect-s-54-6-mieng-voi-2-vung-tham-giam-kich-ung-da-p274091852.html?spid=274091860                                                                                                                                                                             
53,https://tiki.vn/ta-bim-quan-huggies-skin-care-mega-jumbo-xl84-4-mieng-voi-tram-tra-diu-da-p275220816.html?spid=275220817                                                                                                                                                                                                     
54,https://tiki.vn/ta-bim-quan-huggies-skin-care-super-jumbo-xxl54-mieng-voi-tram-tra-diu-da-p275220783.html?spid=275220787                                                                                                                                                                                                     
55,https://tiki.vn/thung-3-goi-ta-bim-dan-so-sinh-huggies-skin-perfectnb-70-6-mieng-voi-2-vung-tham-giam-kich-ung-da-p274091856.html?spid=274091864                                                                                                                                                                             
56,https://tiki.vn/ta-quan-huggies-skin-care-super-jumbo-l68-6-mieng-voi-tram-tra-diu-da-p276081279.html?spid=276081280                                                                                                                                                                                                         
57,https://tiki.vn/ta-bim-dan-so-sinh-huggies-skin-perfect-m-76-3-mieng-voi-2-vung-tham-giam-kich-ung-da-p274058660.html?spid=274058662                                                                                                                                                                                         
58,https://tiki.vn/ta-bim-dan-so-sinh-huggies-skin-perfect-s-80-2-mieng-voi-2-vung-tham-giam-kich-ung-da-p274058672.html?spid=274058673                                                                                                                                                                                         
59,https://tiki.vn/ta-bim-quan-huggies-skin-care-super-jumbo-m76-mieng-voi-tram-tra-diu-da-p275220789.html?spid=275220792                                                                                                                                                                                                       
60,https://tiki.vn/chuot-khong-day-bluetooth-chuot-may-tinh-hxsj-m107b-chong-on-dpi-1600-che-do-kep-wireless-usb-2-4ghz-bluetooth-chuyen-dung-cho-laptop-may-tinh-tivi-hang-chinh-hang-p116725239.html?spid=116725247                                                                                                           
61,https://tiki.vn/chuot-khong-day-hxsj-m107-wireless-2-4ghz-sac-pin-chong-on-dip1600-chuyen-dung-cho-may-tinh-laptop-tivi-hang-chinh-hang-p116566083.html?spid=116566089                                                                                                                                                       
62,https://tiki.vn/lot-chuot-hxsj-cao-su-sieu-ben-sieu-nhe-hang-chinh-hang-p276135518.html?spid=276135519                                                                                                                                                                                                                       
63,https://tiki.vn/lot-chuot-hxsj-kich-thuoc-22x18-cm-co-de-cao-su-chong-truot-cao-cap-p189363615.html?spid=189363616                                                                                                                                                                                                           
