product_name,product_url,avg_rating,number_sold,number_reviews,product_imgs,current_price,discount_rate,original_price,brand_name,brand_url,seller_name,seller_url,review,feature,category,detail,description
Nước giặt quần áo hữu cơ Fuwa3e an toàn cho bé chuyên giặt lụa hương bạc hà 100ml,https://tiki.vn/nuoc-giat-huu-co-huong-bac-ha-cho-lua-an-toan-cho-be-100ml-p186579979.html?spid=186579980,5.0,Đã bán 15,(1),"https://salt.tikicdn.com/cache/200x280/ts/product/da/fe/a2/745bce6b0abe3cbd4d51c9e571fc0abd.png,https://salt.tikicdn.com/cache/200x280/ts/product/e5/55/44/e3cc9949ae29704c9f828b9518e7127d.png,https://salt.tikicdn.com/cache/200x280/ts/product/30/82/9c/1076af3c0683db3d8c965084a79bd7b2.png,https://salt.tikicdn.com/cache/200x280/ts/product/5c/cd/88/c86cbcc4a8e0859a6137065268977cf3.png,https://salt.tikicdn.com/cache/200x280/ts/product/19/5c/0c/f84bfd78634d09aee53627c6e69be796.png,https://salt.tikicdn.com/cache/200x280/ts/product/bc/20/1c/80d9b358f0fb1be350a019a0f9c5a4b0.png,https://salt.tikicdn.com/cache/200x280/ts/product/13/77/23/1e861313df31b7514a3006bb4072fb52.png,https://salt.tikicdn.com/cache/200x280/ts/product/d9/e8/b5/48f250db37b014faa7483fcb9e1363a8.png,https://salt.tikicdn.com/cache/200x280/ts/product/c4/1b/0f/80c502c02b61825839197082789e6726.png,https://salt.tikicdn.com/cache/200x280/ts/product/2c/67/6a/45e276e0b2ff3ff9fa4d8bbb3932cdc2.png",19.000₫,,,fuwa3e,https://tiki.vn/thuong-hieu/fuwa3e.html,Fuwa3e Official,https://tiki.vn/cua-hang/fuwa3e-official?source_screen=product_detail&source_engine=organic,"[['<span><img alt=""star-icon"" src=""https://salt.tikicdn.com/ts/upload/e3/f0/86/efd76e1d41c00ad8ebb7287c66b559fd.png"" width=""20"" height=""20""></span><span><img alt=""star-icon"" src=""https://salt.tikicdn.com/ts/upload/e3/f0/86/efd76e1d41c00ad8ebb7287c66b559fd.png"" width=""20"" height=""20""></span><span><img alt=""star-icon"" src=""https://salt.tikicdn.com/ts/upload/e3/f0/86/efd76e1d41c00ad8ebb7287c66b559fd.png"" width=""20"" height=""20""></span><span><img alt=""star-icon"" src=""https://salt.tikicdn.com/ts/upload/e3/f0/86/efd76e1d41c00ad8ebb7287c66b559fd.png"" width=""20"" height=""20""></span><span><img alt=""star-icon"" src=""https://salt.tikicdn.com/ts/upload/e3/f0/86/efd76e1d41c00ad8ebb7287c66b559fd.png"" width=""20"" height=""20""></span><div style=""width: 100%;""><span><img alt=""star-icon"" src=""https://salt.tikicdn.com/ts/upload/e3/f0/86/efd76e1d41c00ad8ebb7287c66b559fd.png"" width=""20"" height=""20""></span><span><img alt=""star-icon"" src=""https://salt.tikicdn.com/ts/upload/e3/f0/86/efd76e1d41c00ad8ebb7287c66b559fd.png"" width=""20"" height=""20""></span><span><img alt=""star-icon"" src=""https://salt.tikicdn.com/ts/upload/e3/f0/86/efd76e1d41c00ad8ebb7287c66b559fd.png"" width=""20"" height=""20""></span><span><img alt=""star-icon"" src=""https://salt.tikicdn.com/ts/upload/e3/f0/86/efd76e1d41c00ad8ebb7287c66b559fd.png"" width=""20"" height=""20""></span><span><img alt=""star-icon"" src=""https://salt.tikicdn.com/ts/upload/e3/f0/86/efd76e1d41c00ad8ebb7287c66b559fd.png"" width=""20"" height=""20""></span></div>', '', []]]",,Trang chủ;;Chăm sóc nhà cửa;;Giặt giũ & Chăm sóc quần áo;;Nước giặt;;Nước giặt quần áo hữu cơ Fuwa3e an toàn cho bé chuyên giặt lụa hương bạc hà 100ml,"Thương hiệu
fuwa3e,Xuất xứ thương hiệu
Việt Nam,Dung tích
100ml,Sản phẩm có được bảo hành không?
Không,Địa chỉ tổ chức chịu trách nhiệm về hàng hóa
Lô 01-03 Đường Phượng Hoàng. Phường Đông Cương, Thành phố Thanh Hóa,Xuất xứ (Made in)
Việt Nam,Trọng lượng sản phẩm
100g,Thể tích
100ml","* Thông tin Nước giặt hữu cơ Fuwa3e chuyên giặt lụa hương bạc hà 100ml an toàn cho bé
  Thành phần của Nước giặt lụa Fuwa3e hữu cơ:
- 90% là chế phẩm Enzyme sinh học được ngâm ủ và lên men từ vỏ dứa, cam, chanh, bưởi… 10% Các chất hữu cơ tạo bọt lành tính gốc thực vật: Coco Betaine, decyl glucoside, sodium Sarcosinate và chất HDBM anionic ( 3%).
- Cam kết không sử dụng hương liệu, chất tạo mùi và hóa chất độc hại.
- Hương bạc hà.
  Công dụng của Nước giặt Fuwa3e hữu cơ organic:
– Làm sạch quần áo. Đặc biệt phù hợp cho các sản phẩm lụa.
– An toàn cho bé. – Khử sạch mùi hôi, ngăn ngừa vi khuẩn.
– Giặt nhanh sạch hơn, tiết kiệm nước hơn.
– Mềm vải, an toàn với da tay. Thích hợp để giặt đồ lót.
– Làm sạch cống rãnh, hệ sinh thái & hạn chế sự phát triển của muỗi.
  THÔNG TIN CHI TIẾT VỀ THÀNH PHẦN:
Các phản ứng enzyme nhanh hơn hàng triệu lần so với sản phẩm hóa chất thông thường, enzyme sinh học phá vỡ và phá hủy các bụi bẩn và vi khuẩn trên quần áo, Đồng thời các Vitamin A sẵn có cộng với tinh dầu cam nguyên chất,… sẽ giúp áo quần mềm mại và sạch khuẩn hơn, tinh dầu nguyên chất không lưu hương và mùi nhẹ nhàng dễ chịu trong khi bạn giặt tay.
Là nhà sản xuất nước giặt tự nhiên có thành phần chính được lên men từ DỨA: các acid hữu cơ và enzyme làm nhiệm vụ phân tách chất bẩn. Ngoài tiêu chí đảm bảo giặt sạch, thơm, nước giặt Fuwa3e còn an toàn tuyệt đối, không hại da tay. Đặc biệt rất phù hợp cho quần áo trẻ em.
Saponin từ BỒ HÒN – tạo bọt là chất tẩy rửa tự nhiên, được Fuwa3e nghiên cứu đóng vai trò quan trọng trong tác dụng làm sạch. Sự khác biệt của nó là Tẩy Sạch nhưng KHÔNG BÀO MÒN, phai màu, thích hợp với mọi loại vải!
Các chất hữu cơ tạo bọt lành tính gốc thực vật: Coco Betaine, decyl glucoside, sodium Sarcosinate và chất HDBM anionic ( 3%). Dịu nhẹ với quần áo của bé
Tinh dầu hữu cơ được kết hợp vào nước giặt, ngoài công dụng tạo hương thơm dễ chịu thì nó còn có tác dụng thanh lọc không khí, xua đuổi kiến, gián, côn trùng #fuwa3e #nuocgiatfuwa3e #nuocgiat #huuco #organic
Giá sản phẩm trên Tiki đã bao gồm thuế theo luật hiện hành. Bên cạnh đó, tuỳ vào loại sản phẩm, hình thức và địa chỉ giao hàng mà có thể phát sinh thêm chi phí khác như phí vận chuyển, phụ phí hàng cồng kềnh, thuế nhập khẩu (đối với đơn hàng giao từ nước ngoài có giá trị trên 1 triệu đồng)
#nuocgiat #nuocgiathuongbacha #nuocgiatdanhcholua #fuwa3e #huuco #organic #nuocgiatdolot #nuocgiatchodanhaycam #nuocgiatchobe
Giá sản phẩm trên Tiki đã bao gồm thuế theo luật hiện hành. Bên cạnh đó, tuỳ vào loại sản phẩm, hình thức và địa chỉ giao hàng mà có thể phát sinh thêm chi phí khác như phí vận chuyển, phụ phí hàng cồng kềnh, thuế nhập khẩu (đối với đơn hàng giao từ nước ngoài có giá trị trên 1 triệu đồng)....."
"Viên giặt xả arFUM 5 trong 1 MỚI, tinh dầu nước hóa lưu hương lâu 16 tuần, khử khuẩn 99% - (50 viên/Túi)",https://tiki.vn/vien-giat-xa-arfum-5-trong-1-moi-tinh-dau-nuoc-hoa-luu-huong-lau-16-tuan-khu-khuan-99-50-vien-tui-p273443225.html?spid=273443233,3.0,Đã bán 8,(1),"https://salt.tikicdn.com/cache/200x280/ts/product/2f/79/e0/c2fd9f1564e031986edeb265d6c41d9c.png,https://salt.tikicdn.com/cache/200x280/ts/product/3f/ce/58/7103ee79a49d18320a8f0ad80681832b.jpg,https://salt.tikicdn.com/cache/200x280/ts/product/92/9f/47/2048e38335a0236969240b87ceda0a51.jpg,https://salt.tikicdn.com/cache/200x280/ts/product/c4/bf/f7/446b48fbb4ff606c658107e76d3d80fe.jpg,https://salt.tikicdn.com/cache/200x280/ts/product/92/15/89/69cf1a4a141794f9baf3ec04822d1551.jpg,https://salt.tikicdn.com/cache/200x280/ts/product/0e/6d/5f/03a38d6844fdc2349ce0f0b9e3d1c2df.jpg,https://salt.tikicdn.com/cache/200x280/ts/product/fd/d7/cd/2aad1d416bc5c27912b11603686dee69.jpg,https://salt.tikicdn.com/cache/200x280/ts/product/59/8a/c0/c90a7a558696c2e0551851586bd9259a.png",451.000₫,-18%,549.000₫,ar FUM,https://tiki.vn/thuong-hieu/ar-fum.html,WLC Official Store,https://tiki.vn/cua-hang/wlc-official-store?source_screen=product_detail&source_engine=organic,"[['<span><img alt=""star-icon"" src=""https://salt.tikicdn.com/ts/upload/e3/f0/86/efd76e1d41c00ad8ebb7287c66b559fd.png"" width=""20"" height=""20""></span><span><img alt=""star-icon"" src=""https://salt.tikicdn.com/ts/upload/e3/f0/86/efd76e1d41c00ad8ebb7287c66b559fd.png"" width=""20"" height=""20""></span><span><img alt=""star-icon"" src=""https://salt.tikicdn.com/ts/upload/e3/f0/86/efd76e1d41c00ad8ebb7287c66b559fd.png"" width=""20"" height=""20""></span><span><img alt=""star-icon"" src=""https://salt.tikicdn.com/ts/upload/50/f9/af/0d540e678d0d639d4eba86c1cdd38556.png"" width=""20"" height=""20""></span><span><img alt=""star-icon"" src=""https://salt.tikicdn.com/ts/upload/50/f9/af/0d540e678d0d639d4eba86c1cdd38556.png"" width=""20"" height=""20""></span><div style=""width: 60%;""><span><img alt=""star-icon"" src=""https://salt.tikicdn.com/ts/upload/e3/f0/86/efd76e1d41c00ad8ebb7287c66b559fd.png"" width=""20"" height=""20""></span><span><img alt=""star-icon"" src=""https://salt.tikicdn.com/ts/upload/e3/f0/86/efd76e1d41c00ad8ebb7287c66b559fd.png"" width=""20"" height=""20""></span><span><img alt=""star-icon"" src=""https://salt.tikicdn.com/ts/upload/e3/f0/86/efd76e1d41c00ad8ebb7287c66b559fd.png"" width=""20"" height=""20""></span><span><img alt=""star-icon"" src=""https://salt.tikicdn.com/ts/upload/e3/f0/86/efd76e1d41c00ad8ebb7287c66b559fd.png"" width=""20"" height=""20""></span><span><img alt=""star-icon"" src=""https://salt.tikicdn.com/ts/upload/e3/f0/86/efd76e1d41c00ad8ebb7287c66b559fd.png"" width=""20"" height=""20""></span></div>', 'Đặt xong đơn toàn thấy bị huỷ mà ko rõ lý do. Đặt đến lần thứ 3 mới được nên cho 3*', []]]",,"Trang chủ;;Chăm sóc nhà cửa;;Giặt giũ & Chăm sóc quần áo;;Nước giặt;;Viên giặt xả arFUM 5 trong 1 MỚI, tinh dầu nước hóa lưu hương lâu 16 tuần, khử khuẩn 99% - (50 viên/Túi)","Thương hiệu
ar FUM,Xuất xứ thương hiệu
Nhật Bản,Dung tích
50 viên,Hạn sử dụng
5 năm kể từ NSX,Hướng dẫn bảo quản
Bảo quản: Ở nhiệt độ phòng, nơi khô ráo thoáng mát và tránh ánh sáng trực tiếp.,Hướng dẫn sử dụng
Cảnh báo
- Tránh xa tầm tay trẻ em.
- Không cầm viên giặt bằng tay ướt hoặc ẩm cũng như không để tiếp xúc với hơi ẩm.
- Không cắt hoặc đâm thủng viên giặt.
- Không đặt vào ngăn đựng bột giặt/nước xả để tránh bị tắc.
- Không được ăn hay nuốt. Nếu nuốt phải, hãy đến gặp ngay bác sĩ.
- Tránh tiếp xúc với mắt, trong trường hợp tiếp xúc với mắt, rửa lại với nước sạch trong 15 phút và đến bác sĩ để được tư vấn.,Sản phẩm có được bảo hành không?
Không,Xuất xứ (Made in)
Trung Quốc","Đặc điểm/ Công dụng
- Viên giặt xả Arfum là viên giặt 5 trong 1 đầu tiên có mặt trên thị trường Việt Nam
- Với công nghệ tiên tiến với hạt lưu hương siêu nhỏ từ Firmenich giúp lưu hương lâu tới 16 tuần.
- Viên giặt Arfum với 10X Sức mạnh giặt sạch giúp loại bỏ vết bẩn, làm mềm và bảo vệ màu quần áo.
- Phù hợp cho cả máy giặt cửa trước và cửa trên.
- Thích hợp cho giặt sấy trong nhà
* Các tầng hương:
+ Bellflower: Hương đầu: Hương rêu, quả lê
                      Hương chính: Hoa chuông, Hoa huệ
                      Hương nền: Gỗ tuyết tùng, hổ phách
+ Nopal Flower: Hương đầu: Cam bergamot
                           Hương chính: Hoa xương rồng, Hoa nhài
                           Hương nền: Gỗ tuyết tùng
+ Cotton Flower: Hương đầu: Cam quýt ngọt
                            Hương chính: Hoa ly trắng, hoa loa kèn
                            Hương nền: Phấn hoa, Long diên hương
+ Pink Love: Hương đầu: Hương táo xanh, lê đào, dưa hấu
                     Hương chính: Hoa hồng, hoa nhài, hoa trắng
                     Hương nền: hương gỗ tuyết tùng
Cách dùng
1. Đặt 1 viên giặt (lượng quần áo dưới 7kg) vào lồng giặt trống.
2. Cho quần áo vào.
3. Khởi động máy giặt
* Đối với khối lượng quần áo lớn hơn 7kg hoặc đồ giặt nhiều bẩn, khuyến nghị sử dụng 2 viên giặt
Bảo quản: Ở nhiệt độ phòng, nơi khô ráo thoáng mát và tránh ánh sáng trực tiếp.
Cảnh báo
- Tránh xa tầm tay trẻ em.
- Không cầm viên giặt bằng tay ướt hoặc ẩm cũng như không để tiếp xúc với hơi ẩm.
- Không cắt hoặc đâm thủng viên giặt.
- Không đặt vào ngăn đựng bột giặt/nước xả để tránh bị tắc.
- Không được ăn hay nuốt. Nếu nuốt phải, hãy đến gặp ngay bác sĩ.
- Tránh tiếp xúc với mắt, trong trường hợp tiếp xúc với mắt, rửa lại với nước sạch trong 15 phút và đến bác sĩ để được tư vấn.
  Giá sản phẩm trên Tiki đã bao gồm thuế theo luật hiện hành. Bên cạnh đó, tuỳ vào loại sản phẩm, hình thức và địa chỉ giao hàng mà có thể phát sinh thêm chi phí khác như phí vận chuyển, phụ phí hàng cồng kềnh, thuế nhập khẩu (đối với đơn hàng giao từ nước ngoài có giá trị trên 1 triệu đồng)....."
